Real-Time Hourly System Load Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: rt_hourlysysload_20161007_20161021.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report for: 10/07/2016 - 10/21/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report generated: 05/28/2019 12:28:58 EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour Ending,Total Load,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,HE,MWh,,,1,1,12268.9,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10/7/2016,1,10953.46,,,1,2,11823.69,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,2,10947.41,,,1,3,11790.9,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,3,10819.54,,,1,4,11870.63,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,4,10756.25,,,1,5,11818.36,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,5,10726.39,,,1,6,11986.09,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,6,11061.38,,,1,7,12354.74,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,7,12259.48,,,1,8,12257.39,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,8,13237.72,,,1,9,12190.65,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,9,13486.86,,,1,10,12406.26,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,10,13527.89,,,1,11,12633.22,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,11,13644.89,,,1,12,12566.16,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,12,13726.53,,,1,13,12583.67,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,13,13716.55,,,1,14,12610.76,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,14,13845.24,,,1,15,12785.02,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,15,13911.08,,,1,16,13202.11,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,16,13969.7,,,1,17,14373.08,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,17,14174.44,,,1,18,15558.37,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,18,14388.31,,,1,19,15536.75,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,19,14656.91,,,1,20,15230.5,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,20,14638.14,,,1,21,14807.87,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,21,13989.87,,,1,22,14191.15,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,22,13153.46,,,1,23,13346.23,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,23,12080.77,,,1,24,12516.37,,,,,,,,,,,,,,,,,,,,,,
10/7/2016,24,11262.95,,,1,1,12316.98,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,1,10675.07,,,1,2,12043.25,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,2,10369.21,,,1,3,12066.25,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,3,10378.33,,,1,4,12079.48,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,4,10264.04,,,1,5,12291.74,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,5,10138.54,,,1,6,12562.01,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,6,10492.19,,,1,7,12842.11,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,7,10640.36,,,1,8,13434.78,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,8,11167.76,,,1,9,14029.16,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,9,11682.22,,,1,10,14589.28,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,10,12179.08,,,1,11,14916.38,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,11,12367.46,,,1,12,14999.29,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,12,12340.08,,,1,13,14997.45,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,13,12385.15,,,1,14,14973.99,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,14,12517.19,,,1,15,14975.35,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,15,12553.9,,,1,16,15217.73,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,16,12649.79,,,1,17,16267.86,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,17,12872.87,,,1,18,17232.08,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,18,13311.72,,,1,19,16978.72,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,19,13935.4,,,1,20,16459.73,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,20,13867.2,,,1,21,15749.08,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,21,13410.38,,,1,22,14706.17,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,22,12748.96,,,1,23,13380.67,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,23,11873.56,,,1,24,12248.36,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,24,10951.75,,,1,1,11904.59,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,1,10451.31,,,1,2,12049.51,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,2,10062.68,,,1,3,12077.3,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,3,9972.3,,,1,4,11908.61,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,4,9823.48,,,1,5,12012.43,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,5,10065.82,,,1,6,12624.78,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,6,10232.91,,,1,7,14115.36,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,7,10397.27,,,1,8,15220.45,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,8,10839.98,,,1,9,15484.01,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,9,11426.08,,,1,10,15649.42,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,10,12278.76,,,1,11,15835.33,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,11,12800.68,,,1,12,15916.62,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,12,13113.9,,,1,13,15919.4,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,13,13299.35,,,1,14,15937.99,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,14,13238.37,,,1,15,15890.03,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,15,13101.29,,,1,16,16045.58,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,16,13055.97,,,1,17,16914.19,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,17,13245.15,,,1,18,17573.58,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,18,13579.52,,,1,19,17371.86,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,19,13890.62,,,1,20,16826.77,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,20,13762.87,,,1,21,16058.84,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,21,13214.48,,,1,22,14932.44,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,22,12315.4,,,1,23,13619.98,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,23,11557.31,,,1,24,13092.22,,,,,,,,,,,,,,,,,,,,,,
10/9/2016,24,10890.3,,,1,1,12613.27,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,1,10541.42,,,1,2,12359.26,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,2,10157.22,,,1,3,12146.05,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,3,10123.02,,,1,4,12138.03,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,4,10060.27,,,1,5,12425.23,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,5,10303.24,,,1,6,12928.89,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,6,10863.88,,,1,7,14025.29,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,7,11682.05,,,1,8,14991.29,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,8,12464.92,,,1,9,15157.88,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,9,12769.74,,,1,10,15109.31,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,10,12938.81,,,1,11,15059.38,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,11,12909.67,,,1,12,14983.18,,,,,,,,,,,,,,,,,,,,,,
